10;5600
11;1100
12;1200
13;900
14;1200
15;500
16;18100
17;900
18;500
19;800
20;1400
21;1000
22;600
23;500
24;1100
25;900
26;3100
27;800
28;500
29;400
30;1000
31;900
32;500
33;400
34;400
35;500
36;300
37;4000
38;3900
39;600
40;500
41;600
42;400
43;2500
44;500
45;400
46;400
47;600
48;400
49;400
50;300
51;400
52;300
53;400
54;800
55;400
56;400
57;300
58;300
59;400
60;400
61;400
62;400
63;400
64;1100
65;600
66;400
67;3400
68;800
69;500
70;900
71;900
72;400
73;500
74;600
75;900
76;3400
77;900
78;1000
79;1100
80;600
81;500
82;300
83;400
84;900
85;700
86;400
87;300
88;500
89;900
90;700
91;900
92;600
93;700
94;500
95;900
96;900
97;1100
98;900
99;4100
100;500
101;800
102;600
103;1000
104;800
105;900
106;800
107;1000
108;900
109;800
110;900
111;900
112;800
113;1200
114;1000
115;900
116;900
117;1000
118;900
119;3800
120;600
121;1000
122;400
123;900
124;400
125;1100
126;1100
127;800
128;1100
129;1100
130;1200
131;1100
132;1200
133;1000
134;1100
135;1000
136;900
137;1100
138;800
139;900
140;1200
141;1000
142;800
143;6400
144;900
145;900
146;900
147;800
148;5500
149;800
150;800
151;800
152;900
153;900
154;800
155;900
156;900
157;900
158;900
159;1300
160;1100
161;1000
162;1000
163;13100
164;3700
165;800
166;1000
167;900
168;1100
169;3800
170;900
171;1000
172;800
173;700
174;600
175;600
176;700
177;800
178;800
179;900
180;500
181;300
182;400
183;600
184;500
185;500
186;400
187;300
188;900
189;400
190;300
191;400
192;5000
193;500
194;400
195;500
196;1200
197;900
198;900
199;900
200;300
201;500
202;900
203;4100
204;900
205;3400
206;700
207;4000
208;1000
209;600
210;900
211;300
212;300
213;1000
214;1300
215;1000
216;900
217;900
218;900
219;1100
220;800
221;900
222;900
223;4300
224;800
225;400
226;1100
227;500
228;400
229;800
230;400
231;400
232;300
233;3300
234;500
235;400
236;300
237;400
238;400
239;400
240;400
241;300
242;500
243;400
244;400
245;400
246;400
247;800
248;500
249;4700
250;1800
251;500
252;400
253;400
254;400
255;400
256;400
257;1200
258;1200
259;1100
260;1000
261;400
262;400
263;400
264;500
265;700
266;700
267;500
268;500
269;500
270;500
271;500
272;600
273;600
274;900
275;1200
276;700
277;1000
278;900
279;900
280;800
281;300
282;3900
283;400
284;400
285;400
286;400
287;400
288;2700
289;600
290;400
291;400
292;400
293;500
294;400
295;400
296;400
297;400
298;400
299;400
300;400
301;400
302;400
303;400
304;1800
305;300
306;400
307;400
308;400
309;800
310;700
311;400
312;400
313;400
314;600
315;300
316;900
317;3200
318;900
319;800
320;400
321;400
322;400
323;400
324;300
325;300
326;2500
327;400
328;500
329;400
330;900
331;3800
332;500
333;1900
334;700
335;400
336;400
337;800
338;600
339;400
340;400
341;400
342;400
343;400
344;300
345;500
346;400
347;500
348;300
349;400
350;600
351;400
352;400
353;300
354;400
355;400
356;400
357;3100
358;900
359;700
360;400
361;2200
362;400
363;600
364;1000
365;400
366;800
367;600
368;600
369;500
370;900
371;700
372;800
373;500
374;900
375;4300
376;600
377;1400
378;700
379;400
380;500
381;400
382;500
383;400
384;400
385;400
386;400
387;500
388;400
389;400
390;400
391;400
392;400
393;400
394;800
395;900
396;1000
397;500
398;400
399;400
