Id,SalePrice
1461,123902.88298407057
1462,155424.62949340392
1463,178296.8814345132
1464,179809.72348966217
1465,198809.8374180993
1466,184044.13398121283
1467,167035.55465069652
1468,176377.63157869413
1469,183374.7888281879
1470,128801.18584020576
1471,203014.02337068383
1472,96403.4107864456
1473,97283.09292561865
1474,151844.20273809106
1475,153513.14918491992
1476,378210.1796455666
1477,248226.6254200506
1478,313297.79905600194
1479,248810.59869167776
1480,467345.9719791561
1481,310713.82406157756
1482,208100.9610194789
1483,170627.31035504135
1484,179177.35418333727
1485,174767.77315929937
1486,198618.41251266282
1487,306556.0469925291
1488,229653.66913811682
1489,208788.59066108603
1490,192793.11759921882
1491,190742.5211030971
1492,101858.36805315793
1493,172554.03379411125
1494,296882.462129663
1495,291302.2373367239
1496,230312.42494398972
1497,190682.8657160019
1498,150403.38085824178
1499,152230.5123323637
1500,148786.19926790247
1501,173117.3536567431
1502,168497.43833817888
1503,289746.28654336
1504,231051.26385158027
1505,213323.5777030621
1506,180913.72099721935
1507,216495.28415878082
1508,205314.62304346808
1509,163475.1861136667
1510,154326.77231601448
1511,152885.74153772846
1512,168198.17388050602
1513,151593.2177225787
1514,159419.85427725286
1515,174440.69674451507
1516,155502.01176213386
1517,150853.56123726725
1518,135480.9565393607
1519,223717.59416145412
1520,138264.60738064046
1521,144844.36897432103
1522,164156.7712623803
1523,116186.92667669845
1524,123485.38858591906
1525,126237.12352979893
1526,128775.67604712439
1527,102054.67201537814
1528,127519.62051575573
1529,142514.44093848811
1530,171392.30152886055
1531,121127.79611101901
1532,105428.69836797984
1533,140797.6909705238
1534,114783.57796370325
1535,149261.4900801389
1536,115571.62662599845
1537,73499.19269752488
1538,169184.15202367783
1539,219334.32247747135
1540,105376.8563403532
1541,147198.23958091147
1542,137313.5679006229
1543,206589.59907193691
1544,84514.32057591755
1545,98866.35217975918
1546,120987.51599792563
1547,137092.58774569127
1548,133965.57129975763
1549,106699.81198004555
1550,139369.9188097148
1551,117046.17599774648
1552,134043.41338089478
1553,134877.76523565804
1554,109886.62100101264
1555,165195.4649884386
1556,90217.63047142712
1557,124566.85824877124
1558,86293.06683026839
1559,105111.36971067905
1560,144444.51675113253
1561,138766.48284302058
1562,126440.31339434255
1563,125990.68283379968
1564,158329.04598301015
1565,154224.79260553973
1566,208804.89865490425
1567,79285.75043447514
1568,223383.62303754137
1569,135327.2493299418
1570,126410.72347883953
1571,125468.77439359228
1572,143739.8151923132
1573,236543.45716072488
1574,111284.06997113381
1575,204622.5355157555
1576,211381.0453178548
1577,207131.34272518838
1578,150516.37171879638
1579,142186.89173327177
1580,193569.35511534504
1581,141756.72716197866
1582,130422.47128948082
1583,323046.29637687973
1584,241401.76371353207
1585,140537.91679594494
1586,69741.20590272255
1587,104599.42290209128
1588,146334.5776288736
1589,99795.57933741773
1590,135322.36613448468
1591,107412.91797480089
1592,124742.51028465382
1593,113407.3533941561
1594,117790.98887994609
1595,113139.0864645777
1596,231549.66588509892
1597,163908.8520750228
1598,184176.03795833257
1599,202619.1642426105
1600,194427.8254186285
1601,77616.38531648577
1602,107534.31747183432
1603,87268.75875371287
1604,286399.4982150167
1605,251887.20520739703
1606,168953.200168232
1607,157048.09569809187
1608,213853.71375542553
1609,201862.160722399
1610,163384.4116377479
1611,153119.78975523802
1612,164879.35884014916
1613,160967.9350764271
1614,123178.88331599328
1615,84536.15001881002
1616,78853.972557191
1617,86705.28962573384
1618,125663.58862999556
